Date,Close,High,Low,Open
1992-01-07,22.25,22.3,22.0,22.0
1992-02-28,10.5,10.75,8.0,8.0
1992-03-02,9.8,11.15,9.8,10.5
1992-03-03,9.3,10.0,9.2,9.9
1992-03-04,9.1,9.5,9.05,9.2
1992-03-05,9.15,9.2,9.0,9.2
1992-03-06,9.05,9.15,9.0,9.05
1992-03-09,8.65,9.2,8.6,9.2
1992-03-10,8.55,8.8,8.5,8.7
1992-03-11,8.6,8.7,8.5,8.5
1992-03-12,8.8,8.8,8.6,8.6
1992-03-13,8.8,8.9,8.7,8.9
1992-03-16,8.7,8.8,8.65,8.8
1992-03-17,8.7,8.7,8.6,8.7
1992-03-18,8.6,8.7,8.55,8.7
1992-03-19,8.6,8.7,8.5,8.7
1992-03-20,8.55,8.65,8.5,8.55
1992-03-23,8.55,8.8,8.35,8.55
1992-03-24,8.5,8.6,8.45,8.6
1992-03-25,8.8,8.9,8.4,8.5
1992-03-26,9.05,9.6,8.8,8.8
1992-03-27,9.1,9.3,9.0,9.0
1992-03-30,9.2,9.5,8.95,9.0
1992-03-31,9.5,9.7,9.3,9.3
1992-04-01,10.3,10.55,9.45,9.65
1992-04-02,10.2,10.3,9.95,10.15
1992-04-03,9.75,10.2,9.5,10.2
1992-04-06,10.0,10.0,9.5,9.9
1992-04-07,9.8,10.1,9.7,10.0
1992-04-08,10.4,10.45,9.65,9.8
1992-04-09,11.35,11.5,10.3,10.3
1992-04-10,12.35,12.5,11.3,11.3
1992-04-13,14.95,15.2,12.2,12.2
1992-04-14,14.75,15.8,14.45,14.8
1992-04-15,13.85,15.0,13.6,14.95
1992-04-16,14.85,15.0,13.0,13.7
1992-04-17,14.3,15.0,14.1,15.0
1992-04-20,13.85,14.2,13.5,14.15
1992-04-21,13.9,14.0,13.2,13.7
1992-04-22,14.45,14.6,13.55,13.9
1992-04-23,15.0,15.2,14.6,14.6
1992-04-24,15.05,15.25,14.8,15.2
1992-04-27,14.85,15.3,14.6,15.1
1992-04-28,14.8,14.9,14.4,14.85
1992-04-29,14.85,15.0,14.7,14.8
1992-04-30,14.95,15.2,14.7,14.8
1992-05-03,14.75,15.2,14.6,15.1
1992-05-04,14.8,15.2,14.5,14.9
1992-05-05,14.8,15.0,14.6,14.9
1992-05-06,15.5,16.55,14.95,14.95
1992-05-07,15.0,15.65,14.5,15.65
1992-05-08,14.8,15.5,14.35,15.0
1992-05-11,14.85,14.95,14.5,14.95
1992-05-12,16.6,16.9,15.0,15.0
1992-05-13,18.35,19.4,16.75,16.75
1992-05-14,18.65,18.95,17.6,18.5
1992-05-15,18.6,19.1,18.35,18.5
1992-05-18,19.45,19.45,17.6,18.75
1992-05-19,23.3,23.3,19.6,19.6
1992-05-20,22.0,23.7,21.8,23.45
1992-05-21,22.85,23.3,20.45,22.15
1992-05-22,23.35,24.1,23.0,23.0
1992-05-25,23.7,23.8,22.5,23.5
1992-05-26,23.75,24.2,23.0,23.55
1992-05-27,24.2,25.1,23.9,23.9
1992-05-28,24.0,24.3,23.55,24.15
1992-05-29,24.0,24.0,23.0,24.0
1992-06-01,23.4,24.5,23.3,23.7
1992-06-02,23.2,23.55,22.5,23.55
1992-06-03,19.5,23.05,19.5,23.05
1992-06-04,21.95,22.0,18.1,19.5
1992-06-05,22.0,23.0,21.95,22.0
1992-06-08,21.0,22.15,20.3,22.15
1992-06-09,19.5,21.0,19.3,21.0
1992-06-10,20.0,20.5,18.5,19.35
1992-06-11,19.55,20.5,19.4,20.0
1992-06-12,19.8,19.8,19.2,19.7
1992-06-15,18.5,19.8,18.3,19.8
1992-06-16,16.9,18.35,16.6,18.35
1992-06-17,19.3,19.5,16.2,17.0
1992-06-18,18.3,19.6,17.45,19.45
1992-06-19,18.75,18.8,17.45,18.2
1992-06-22,17.5,18.6,17.0,18.6
1992-06-23,17.95,18.0,17.0,17.5
1992-06-24,17.9,18.15,17.5,18.1
1992-06-25,18.0,18.1,17.7,18.0
1992-06-26,19.1,19.2,18.1,18.1
1992-06-29,21.2,22.0,19.1,19.1
1992-06-30,22.85,22.85,21.35,21.35
1992-07-01,20.9,22.7,20.8,22.7
1992-07-02,21.1,21.7,20.0,21.0
1992-07-03,21.75,21.75,20.7,21.0
1992-07-06,21.3,22.8,21.0,21.8
1992-07-07,21.4,22.0,20.8,21.45
1992-07-08,21.5,21.75,21.2,21.25
1992-07-09,21.0,21.45,21.0,21.35
1992-07-10,20.7,21.0,20.5,21.0
1992-07-13,21.6,21.7,20.4,20.55
1992-07-14,21.6,22.0,21.6,21.6
1992-07-15,21.3,21.6,21.2,21.6
1992-07-16,21.8,21.85,21.15,21.15
1992-07-17,22.5,22.5,21.8,21.95
1992-07-20,23.4,23.8,22.65,22.65
1992-07-21,23.15,23.55,22.95,23.55
1992-07-22,23.3,23.3,22.5,23.3
1992-07-23,23.8,23.8,23.0,23.45
1992-07-24,24.35,24.35,23.8,23.8
1992-07-27,25.25,25.25,24.4,24.5
1992-07-28,24.4,25.5,24.3,25.3
1992-07-29,24.5,24.8,24.0,24.25
1992-07-30,24.5,24.6,24.2,24.5
1992-07-31,23.75,24.7,23.6,24.5
1992-08-03,22.7,23.7,22.6,23.7
1992-08-04,23.7,24.0,22.1,22.55
1992-08-05,23.8,24.2,23.3,23.7
1992-08-06,23.6,23.95,23.3,23.95
1992-08-07,24.7,24.8,23.5,24.7
1992-08-10,25.2,25.7,24.85,24.85
1992-08-11,23.5,24.85,23.0,24.85
1992-08-12,23.6,24.85,23.5,23.65
1992-08-13,23.0,23.5,22.8,23.5
1992-08-14,23.9,23.95,22.55,22.85
1992-08-17,24.15,25.0,24.0,24.0
1992-08-18,23.8,24.1,23.45,24.0
1992-08-19,24.05,24.4,23.9,23.95
1992-08-20,23.8,24.3,23.3,24.0
1992-08-21,23.4,23.85,23.4,23.8
1992-08-24,22.7,23.25,22.5,23.25
1992-08-25,22.0,23.0,21.8,22.85
1992-08-26,22.5,23.0,21.75,21.85
1992-08-27,22.5,23.0,22.15,22.5
1992-08-28,22.8,22.8,22.5,22.5
1992-08-31,22.0,22.5,22.0,22.5
1992-09-01,21.75,22.0,21.5,22.0
1992-09-02,21.7,21.7,20.5,21.6
1992-09-03,21.2,21.8,21.0,21.7
1992-09-04,20.0,21.05,19.95,21.0
1992-09-07,18.65,19.8,18.6,19.8
1992-09-08,20.55,20.7,18.4,18.65
1992-09-09,21.35,21.5,20.0,20.7
1992-09-10,21.4,21.8,21.0,21.5
1992-09-11,21.5,21.55,20.8,21.55
1992-09-14,20.5,21.85,20.3,21.5
1992-09-15,20.6,21.05,20.25,20.5
1992-09-16,20.6,20.7,20.4,20.4
1992-09-17,21.2,21.2,20.6,20.6
1992-09-18,20.85,21.35,20.08,21.35
1992-09-21,20.5,20.9,20.4,20.85
1992-09-22,20.35,20.5,20.3,20.5
1992-09-23,20.6,20.7,20.3,20.3
1992-09-24,21.2,21.5,20.45,20.45
1992-09-25,20.5,21.5,20.5,21.35
1992-09-28,20.7,21.3,20.4,20.4
1992-09-29,21.2,21.2,20.7,20.7
1992-09-30,21.2,21.4,21.0,21.0
1992-10-04,21.4,21.8,21.1,21.3
1992-10-05,21.05,21.55,20.85,21.4
1992-10-06,20.9,21.15,20.8,21.0
1992-10-07,21.0,21.0,20.8,21.0
1992-10-08,20.9,21.3,20.8,21.3
1992-10-09,21.0,21.1,20.65,20.7
1992-10-12,21.4,21.8,21.3,21.7
1992-10-13,20.9,21.15,20.8,21.0
1992-10-14,20.3,20.95,20.0,20.75
1992-10-15,20.85,21.0,19.8,20.25
1992-10-16,20.55,20.9,20.4,20.9
1992-10-19,19.6,20.5,19.6,20.5
1992-10-20,19.85,20.6,19.8,19.95
1992-10-21,19.0,20.0,18.8,20.0
1992-10-22,18.9,19.3,18.5,19.0
1992-10-23,17.85,18.8,17.85,18.8
1992-10-26,16.0,17.5,14.5,17.5
1992-10-27,15.5,16.55,14.9,16.15
1992-10-28,16.0,16.0,15.0,15.35
1992-10-29,17.0,17.05,15.8,16.0
1992-10-30,17.5,17.7,17.0,17.15
1992-11-02,16.2,17.65,16.2,17.65
1992-11-03,16.8,16.85,15.15,16.05
1992-11-04,16.35,16.8,16.2,16.8
